File DF1,"Supporting data file: summary of rock properties, experiments and test conditions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In this file are tabulated: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a),Descriptions of the rock types used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b),XRD results and calculated elastic moduli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c),Permeability data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d),Pore volumometry data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(e),Finite element analysis of stresses in cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downstream reservoir volume = 445 ± 30 mm3,,,Log(10) argon viscosity (Pa.s) at 20 C =,,,1.64 + 0.0057*P(MPa),,,           Argon compressibility:,,,ideal=,1/P(MPa) ;,Real compressibility     =,,ideal compressibility*Multiplier,,,,,,,,,,,,,,
Results of permeability measurements using the oscillating pore pressure method (Bernabe et al. 2006),,,,,,,,,,Multiplier (P in Mpa)=,,4.470226E-08*P4 + 1.103348E-05*P3 - 8.324170E-04*P2 + 1.068256E-02*P + 9.955813E-01,,,,,,,,,,,,,,,,,,
   Bernabe et al. (2006) give the equations to be solved to calculate permeability and storativity from the data acquired.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertainty values are given in the main text.,,,Oscillation amplitudes 1 MPa or smaller.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Pore volumometry data,,Pennant Sandstone,,,,,,,,,,,,,,,,
Pennant sandstone,Sample #,PE2,Sample ,vol.mm3,24032.6,,,,,,,Test #,PN200,Sample vol.mm3,27807.60159,,,,,,,,,,,,,,,
Test #,Confining,Pore,Terzaghi,log Perm.,Dimensionless,,Raw Oscillations data,,,,,Pore,Terzaghi,Volume,Pore,Terzaghi,Volume,,,,,,,,,,,,,
,pressure MPa,pressure MPa,P.eff  MPa, m2,Storativity,,gain,phase(rad),Period(s), Test #,,press. MPa,P.eff  MPa,strain,press. MPa,eff. P. MPa,strain,,,,,,,,,,,,,
PE2a1a,20.0,10.0,10.0,-18.13,1.39,,0.042,3.229,100,PE2a1a,,10.34,3.81,0,48.3,7.84,-0.00010,,,,,,,,,,,,,
PE2a1b,40.0,10.0,30.0,-18.49,1.322,,0.035,3.351,200,PE2a1b,,10.34,6.67,0,48.3,12.52,0.00041,,,,,,,,,,,,,
PE2a1c,60.0,10.0,50.0,-18.68,1.738,,0.025,3.770,300,PE2a1c,,10.34,11.61,0.00081,48.3,18.44,0.00098,,,,,,,,,,,,,
PE2a1d,80.0,10.0,70.0,-18.97,1.387,,0.015,4.084,400,PE2a1d,,10.34,19.49,0.00182,48.3,27.68,0.00155,,,,,,,,,,,,,
PE2a1e,20.0,10.0,10.0,-18.08,1.807,,0.04,3.386,100,PE2a1e,,10.34,26.58,0.00182,48.3,35.75,0.00193,,,,,,,,,,,,,
PE2a1f,30.0,10.0,20.0,-18.32,1.409,,0.0404,3.264,150,PE2a1f,,10.34,35.36,0.00246,48.3,44.92,0.00238,,,,,,,,,,,,,
PE2bk,40.0,10.0,30.0,-18.43,2.00,,0.006,4.887,100,PE2bk,,10.34,47.01,0.00251,48.3,53.18,0.00278,,,,,,,,,,,,,
PE2b1n,20.0,10.0,10.0,-18.18,1.499,,0.032,3.491,100,PE2b1n,,10.34,58.98,0.00303,48.3,64.50,0.00307,,,,,,,,,,,,,
PE2b1h,80.0,10.0,70.0,-18.80,1.321,,0.008,4.590,200,PE2b1h,,10.34,74.85,0.00318,48.3,72.83,0.00343,,,,,,,,,,,,,
PE2a1G,40.0,30.0,10.0,-18.06,1.959,,0.1498,2.304,100,PE2a1G,,10.34,89.88,0.00318,48.3,84.80,0.00360,,,,,,,,,,,,,
PE2a1h,50.0,30.0,20.0,-18.26,1.633,,0.2147,1.972,200,PE2a1h,,10.34,106.93,0.00318,48.3,93.13,0.00474,,,,,,,,,,,,,
PE2a1j,60.0,30.0,30.0,-18.47,1.449,,0.1298,2.321,200,PE2a1j,,10.34,120.98,0.00320,48.3,104.13,0.00489,,,,,,,,,,,,,
